GEDIV,GTMETSTA,GTCBSASZ,PESEX,PRTAGE,PEEDUCA,PUWK,PTS16E
5,1,7,1,42,46,1,10
5,1,6,2,56,39,1,40
1,1,2,1,62,43,3,122
1,1,5,2,69,44,3,4
1,1,5,1,70,44,3,4
1,1,6,2,72,43,2,300
1,1,6,1,64,43,1,15
1,1,4,1,40,42,1,40
1,1,6,1,60,44,2,10
1,1,6,2,52,43,1,10
1,1,6,1,49,41,1,1
1,1,6,2,69,44,1,100
1,1,4,2,56,43,1,20
6,2,0,2,70,40,3,10
6,2,0,1,61,40,3,12
6,2,0,1,32,40,1,12
6,1,0,2,32,40,2,3
6,1,0,1,79,43,3,1
6,1,0,1,52,40,1,20
6,1,4,1,32,46,1,400
6,2,0,1,61,41,1,20
6,2,0,2,57,39,1,20
6,2,0,2,29,43,1,20
6,2,0,1,73,44,3,5
6,2,0,2,41,42,1,20
6,2,0,1,49,39,1,20
6,2,0,2,37,44,1,104
6,1,4,1,60,46,1,120
1,2,0,2,69,44,3,20
1,2,0,1,70,43,3,10
1,2,0,2,42,43,1,30
1,2,0,1,56,46,1,30
1,2,0,2,37,44,1,52
1,1,3,1,44,44,1,2
1,1,3,2,78,40,2,50
1,1,3,1,60,40,1,45
1,2,0,2,66,42,1,48
1,2,0,1,59,44,1,36
1,1,6,1,50,44,1,20
1,1,6,2,43,43,2,500
1,1,6,2,30,44,1,45
2,1,7,2,75,44,3,3
2,1,7,2,58,40,1,208
2,1,7,1,67,39,3,6
2,1,7,2,49,39,1,5
2,1,7,1,67,39,3,6
2,1,7,2,66,43,1,12
2,1,7,2,38,43,1,12
2,1,7,1,52,44,1,104
2,1,7,2,36,43,2,48
2,1,7,1,70,43,1,8
2,1,7,2,59,40,1,1
2,1,7,1,68,43,1,500
2,1,7,1,40,44,1,24
2,1,7,2,32,46,1,50
2,1,7,1,67,40,3,6
2,1,7,2,67,44,3,5
2,1,7,2,57,39,2,40
2,1,7,1,23,40,1,20
2,1,7,1,69,44,3,1
2,1,7,2,69,44,3,12
2,1,7,1,29,39,1,200
2,1,0,2,69,43,3,12
2,1,0,2,61,42,1,3
2,1,7,1,32,40,1,12
2,1,5,2,38,44,1,10
2,1,7,1,30,45,1,5
2,1,7,2,30,44,1,48
2,1,7,2,80,44,3,500
2,1,7,1,37,45,1,15
2,1,7,1,67,45,1,400
2,1,7,2,63,44,1,200
2,1,7,2,60,43,1,240
2,1,7,2,75,44,3,48
2,1,7,2,63,39,2,60
2,1,7,1,63,42,1,100
2,1,5,2,36,43,1,4
2,1,7,1,62,40,1,8
2,1,7,1,28,43,1,100
2,1,7,2,31,43,2,8
2,1,7,1,54,44,1,500
2,1,7,1,76,45,3,4
2,1,7,1,37,45,2,50
2,1,7,2,33,38,2,52
2,1,7,1,34,39,1,20
2,1,5,1,68,39,2,110
2,1,4,2,68,43,3,60
2,1,4,1,68,41,1,36
2,1,7,2,70,42,1,8
2,1,7,2,58,45,1,30
2,1,7,2,59,43,1,72
2,1,7,1,85,45,3,150
2,1,7,2,77,44,3,140
2,1,7,2,34,44,2,5
2,1,4,2,40,42,1,20
2,1,7,2,46,43,1,15
2,1,7,1,54,43,1,50
2,1,7,2,68,39,3,1
2,1,7,1,42,46,1,60
5,1,2,2,33,33,2,500
5,1,0,1,85,41,3,500
5,1,0,2,62,43,3,2
5,1,0,1,56,43,1,40
5,1,3,1,71,45,3,400
5,1,5,1,69,43,3,36
5,1,5,1,48,43,1,5
5,1,3,2,38,42,1,2
5,1,4,1,34,40,1,40
5,1,4,1,26,44,1,20
5,1,5,2,60,42,1,52
5,1,4,2,19,39,2,10
5,1,5,2,62,43,3,40
5,1,5,2,32,43,1,40
5,1,5,1,47,43,1,10
5,1,5,2,42,43,2,4
5,1,5,2,66,43,3,48
5,1,5,2,32,43,1,36
5,1,5,2,71,40,1,500
5,1,5,1,71,43,1,300
5,2,0,1,80,43,3,500
5,2,0,2,39,40,2,36
5,2,0,1,40,43,1,30
5,1,4,2,30,46,1,20
5,1,4,1,68,43,3,12
5,1,4,2,65,43,2,20
5,1,5,1,44,40,1,20
5,1,5,2,35,38,2,10
5,1,5,1,77,43,3,3
5,1,5,1,74,44,3,40
5,2,0,2,62,43,3,30
5,2,0,1,69,43,1,20
5,1,2,2,75,43,3,50
3,1,5,1,37,43,1,10
3,2,0,1,67,42,1,4
3,2,0,2,63,43,1,4
3,1,5,2,39,43,1,10
3,1,5,2,38,43,2,120
3,1,5,2,59,39,2,20
3,1,5,2,80,39,3,96
3,1,5,2,40,43,1,300
3,1,5,2,65,45,2,6
3,1,5,2,39,42,1,30
3,1,5,1,40,42,1,15
3,1,5,1,42,43,1,6
3,1,5,2,24,43,1,40
3,1,5,1,24,44,1,100
3,1,5,2,51,44,1,30
3,1,5,2,64,44,3,480
3,1,5,1,38,39,1,40
3,1,5,1,40,43,1,100
3,1,5,1,39,43,1,96
3,1,5,2,38,43,1,30
3,1,5,1,40,40,1,12
3,1,4,1,61,42,2,10
3,1,4,2,59,44,1,40
3,1,5,1,63,44,1,2
3,1,5,2,62,39,1,1
3,1,5,2,85,39,3,500
3,1,5,1,48,44,1,156
3,1,5,1,44,40,2,20
3,1,5,1,35,43,1,3
3,1,4,1,44,43,1,4
3,1,4,2,42,44,2,100
3,1,4,2,35,46,1,30
3,1,5,2,61,43,3,104
3,1,5,2,69,43,3,80
3,1,4,2,66,44,3,20
3,1,4,2,73,38,1,7
3,1,4,2,77,43,3,52
3,2,0,2,22,39,1,2
3,2,0,2,72,39,3,24
3,2,0,1,49,39,1,250
3,2,0,2,27,42,1,50
3,2,0,2,31,43,1,40
3,2,0,1,29,42,1,40
3,2,0,2,55,41,1,40
3,1,4,2,46,43,1,30
3,1,4,1,47,40,1,6
3,1,4,1,44,41,1,100
3,1,4,1,55,43,1,8
3,1,4,2,55,40,1,8
3,1,4,2,24,43,1,316
2,1,5,1,68,43,3,500
2,1,5,1,47,44,1,10
2,1,5,1,53,42,1,36
2,1,5,1,72,44,3,500
2,1,5,2,27,43,2,8
2,1,5,2,40,43,1,8
2,1,3,2,67,40,3,2
2,1,7,1,56,40,2,500
2,1,5,1,32,43,1,18
2,1,2,2,54,36,2,3
2,1,7,2,64,43,3,40
2,1,4,1,75,43,1,120
2,1,4,2,74,43,3,50
2,1,4,2,42,43,1,52
2,1,4,1,52,44,1,200
2,1,4,2,18,39,1,40
2,1,7,2,70,44,2,60
2,1,7,2,68,40,1,24
2,1,2,1,73,39,3,36
2,1,4,2,60,41,3,500
2,1,4,1,55,40,1,500
2,1,4,2,80,43,3,260
2,1,4,2,42,44,1,100
2,1,2,2,70,39,3,500
2,1,2,1,70,40,3,104
2,1,4,2,68,44,2,60
2,1,7,2,36,44,1,26
2,1,7,2,64,43,1,120
2,1,7,1,66,44,1,5
2,1,7,2,69,44,3,90
2,1,7,1,69,45,3,416
2,1,7,2,85,39,3,2
2,1,7,1,61,39,1,96
2,1,7,1,45,40,1,20
2,1,7,1,30,46,1,20
2,1,7,1,78,39,3,7
2,1,7,2,79,44,3,9
2,2,0,1,77,44,3,5
2,1,5,1,27,40,1,6
1,1,5,1,41,40,1,5
1,1,5,2,44,40,1,4
1,1,5,1,47,40,1,4
1,1,5,2,69,39,1,50
1,1,5,1,46,43,1,30
1,1,5,1,44,43,1,6
1,1,5,1,78,43,3,45
1,1,5,2,75,39,3,30
1,1,5,2,33,43,2,50
1,1,5,2,23,43,2,50
1,1,5,1,58,40,1,30
1,1,5,1,69,44,3,15
1,1,5,2,73,46,3,40
1,1,5,1,75,44,1,100
1,1,5,2,62,44,1,24
5,1,4,2,34,39,1,25
5,1,4,1,35,40,1,20
5,1,4,2,42,40,1,12
5,1,4,2,29,43,1,6
5,1,4,2,32,42,2,40
5,1,4,1,49,44,1,10
5,1,4,2,50,43,1,50
5,1,5,1,60,43,1,6
5,1,5,2,63,42,1,4
6,1,2,1,56,40,1,40
6,1,5,1,79,39,3,8
6,1,4,1,40,44,1,10
6,1,4,2,38,44,1,10
6,1,4,2,24,40,2,200
6,1,4,1,24,40,1,200
6,1,4,2,22,43,1,60
6,1,4,2,85,39,3,32
6,1,5,2,63,44,1,16
6,1,5,2,47,44,1,20
6,1,5,1,53,43,1,50
6,1,5,2,53,43,1,50
1,1,2,1,72,43,3,312
1,1,2,2,61,43,3,100
1,1,2,2,52,43,1,2
1,2,0,2,46,44,1,3
1,2,0,1,69,40,3,35
5,1,5,1,55,43,1,250
5,1,5,1,20,40,1,50
5,1,5,2,19,40,1,50
5,1,7,2,46,43,1,18
5,1,7,2,69,43,1,36
5,1,7,1,47,44,1,20
5,1,7,2,45,43,1,20
5,1,7,2,50,43,1,12
5,1,5,2,53,44,1,144
5,1,5,2,41,44,1,10
5,1,5,2,47,43,2,20
5,1,7,1,42,43,1,100
5,1,7,1,28,43,1,24
5,1,7,2,27,43,1,10
5,2,0,2,57,39,1,95
5,1,7,1,64,43,1,6
5,1,2,1,41,40,1,5
5,1,0,1,37,43,1,40
5,1,5,2,62,44,1,72
5,1,5,1,76,43,3,40
5,1,3,2,35,40,2,150
5,1,3,2,60,40,1,20
5,2,0,1,71,40,3,8
5,2,0,2,63,40,3,100
5,1,0,1,71,43,2,10
5,1,0,2,64,44,2,125
6,1,2,1,28,40,1,20
6,1,2,2,33,39,1,20
6,1,2,2,52,43,1,12
6,2,0,2,48,40,1,10
6,2,0,2,58,43,1,5
6,2,0,2,48,46,1,20
6,1,5,2,25,43,2,3
6,1,5,2,64,40,3,3
6,1,3,1,76,40,3,108
6,1,3,2,65,40,1,50
6,1,3,1,66,44,1,15
6,1,3,2,76,39,3,20
6,1,3,2,77,40,3,36
6,2,0,2,63,43,3,10
5,1,7,2,48,43,1,15
5,1,3,1,68,40,1,2
5,1,3,1,55,39,2,120
5,1,7,2,37,44,2,500
5,1,7,2,77,44,3,96
5,1,7,1,40,45,1,50
5,1,7,2,38,45,1,50
5,1,7,2,35,44,1,120
5,1,7,1,37,43,1,40
5,1,7,2,40,46,1,150
5,1,7,2,85,44,3,24
5,1,7,1,66,43,3,310
5,1,7,2,80,39,3,200
5,1,7,1,24,43,2,100
5,1,7,1,24,40,1,300
5,1,7,2,65,45,1,52
5,1,7,1,56,45,1,150
5,1,7,2,32,44,1,8
5,1,7,1,33,44,1,40
5,1,7,2,62,44,3,40
5,1,7,1,18,37,2,2
5,1,7,1,36,44,1,90
5,1,7,1,32,44,1,3
5,1,7,2,68,40,3,8
5,1,7,1,74,43,3,36
5,1,7,2,32,44,1,12
5,1,7,1,33,44,2,20
6,1,5,2,41,42,1,200
7,1,3,2,34,43,1,100
7,1,3,2,50,44,1,10
7,1,3,1,70,43,3,2
7,1,3,2,66,44,3,16
7,1,5,2,75,39,3,180
1,1,2,2,80,42,3,180
1,1,2,1,85,43,3,40
1,1,5,1,71,32,3,52
1,1,6,1,52,43,1,20
1,1,6,2,46,44,1,60
1,1,6,2,73,40,3,60
1,1,6,2,49,43,2,100
1,1,6,2,46,44,1,40
1,1,6,1,54,44,1,200
1,1,6,2,50,44,2,100
1,1,6,1,40,44,1,5
6,1,0,1,52,43,1,2
6,1,0,2,41,43,1,12
6,1,0,1,74,46,2,20
6,1,4,1,47,44,1,100
6,1,4,1,57,43,1,5
6,1,4,2,55,43,1,10
6,1,4,1,66,34,1,1
6,2,0,1,70,39,1,175
6,2,0,2,34,40,2,425
6,2,0,1,38,38,1,36
6,2,0,2,60,44,1,500
6,2,0,1,70,39,3,100
1,2,0,1,36,43,1,20
1,2,0,2,63,40,1,2
1,1,6,1,85,43,2,4
1,1,6,2,69,42,3,400
2,1,7,1,33,44,1,144
2,1,7,2,63,39,1,10
2,1,7,1,62,39,1,24
2,1,7,2,37,39,1,200
5,1,4,2,69,44,3,200
5,2,0,2,57,40,1,36
5,1,3,2,71,40,3,10
5,1,5,1,61,42,3,8
5,1,4,1,51,43,2,20
5,1,4,2,49,43,1,50
5,1,4,2,46,43,1,8
6,1,4,2,46,44,2,150
6,1,5,1,29,40,2,500
6,1,5,1,29,41,2,500
1,2,0,2,59,39,1,500
1,1,2,1,27,43,1,40
1,1,2,2,33,44,1,15
1,1,2,2,76,43,3,240
1,2,0,1,73,46,1,104
1,2,0,2,70,44,3,500
1,2,0,1,69,44,3,500
5,1,3,1,74,43,3,500
5,1,0,2,73,41,3,35
5,1,0,1,33,39,1,30
5,2,0,2,29,40,1,96
5,1,2,2,68,39,3,184
9,2,0,2,70,45,1,18
8,1,6,1,73,43,2,30
8,1,6,2,72,41,2,15
7,1,3,1,53,43,1,15
7,1,3,1,56,43,2,2
7,1,3,2,58,43,1,36
7,1,4,2,68,46,2,12
7,1,4,2,40,40,1,20
9,1,6,1,59,43,1,400
9,1,6,2,55,43,1,20
9,1,4,2,36,43,1,48
9,1,4,1,42,40,1,20
9,1,4,2,35,40,1,20
9,1,4,2,71,40,2,2
9,1,7,2,35,44,1,15
9,1,7,1,20,40,2,20
9,1,6,2,57,44,1,10
9,2,0,1,71,42,2,60
9,1,7,2,43,44,1,36
9,1,7,2,75,44,1,10
9,1,7,1,66,44,1,6
9,1,7,2,60,43,2,5
9,1,7,2,32,44,1,156
9,1,5,2,57,41,2,200
9,1,5,2,45,43,1,1
9,1,6,2,59,40,2,1
9,1,5,1,41,40,1,20
9,1,5,2,33,40,1,5
9,1,5,2,48,39,1,4
9,1,6,1,42,40,1,30
9,1,6,2,45,44,1,20
9,1,6,2,85,40,2,12
9,1,6,2,41,39,1,15
9,1,6,2,56,43,1,4
9,1,6,1,77,43,2,8
9,1,3,1,41,42,2,300
9,1,5,1,38,43,1,20
9,1,5,2,37,46,2,10
9,1,3,1,56,44,2,60
9,1,3,2,38,43,1,8
9,1,3,1,43,42,1,6
9,1,4,2,74,43,2,500
9,1,4,1,73,45,2,60
1,1,4,2,68,43,2,8
1,2,0,2,85,42,3,400
1,1,5,1,52,44,1,50
1,1,4,2,55,43,1,10
1,1,4,1,60,44,1,30
5,1,7,1,35,40,1,100
5,1,7,2,72,40,3,80
5,1,7,2,63,46,3,48
5,1,7,2,67,42,3,24
5,1,7,2,62,42,1,10
5,1,7,1,28,43,1,10
5,1,7,2,25,43,1,10
5,1,3,1,72,44,1,300
5,1,3,2,72,40,2,24
5,1,3,2,47,43,1,20
5,1,3,1,55,43,2,96
5,1,7,2,55,43,1,6
5,1,7,1,56,45,1,12
5,1,7,2,65,44,1,48
5,1,7,2,64,43,1,1
5,1,7,1,28,43,1,8
5,1,7,2,61,44,1,12
5,1,7,1,57,43,2,24
5,1,5,2,62,43,2,500
5,1,5,2,24,43,1,5
5,1,5,2,58,40,2,96
5,1,5,1,58,39,2,12
5,1,6,1,31,43,1,8
5,1,6,2,31,43,2,4
5,1,3,1,36,45,1,10
5,1,3,1,66,45,1,50
5,1,3,2,59,39,1,100
5,1,7,2,69,43,2,200
5,1,7,1,66,44,2,30
5,1,7,2,56,40,2,500
5,1,6,1,44,43,1,36
5,1,6,2,43,44,1,3
5,2,0,2,65,41,2,60
5,2,0,2,38,39,2,120
5,1,5,1,38,43,1,50
5,1,4,1,74,44,2,150
5,1,4,2,72,42,2,100
5,1,2,1,77,44,3,40
5,1,7,2,45,43,1,6
5,1,7,1,61,40,1,15
5,1,7,2,53,40,1,5
5,1,7,1,56,42,1,208
5,1,7,2,40,43,1,500
9,2,0,1,58,39,1,20
9,1,4,2,70,44,2,3
9,1,4,2,25,43,1,104
9,1,4,1,57,44,1,3
9,1,4,1,70,40,2,6
9,1,2,1,34,44,1,30
8,1,4,1,30,40,1,4
8,1,4,1,31,43,1,30
8,1,4,2,29,43,1,10
8,1,0,2,62,43,1,60
8,1,2,2,54,43,1,24
8,1,4,1,64,43,1,25
8,1,4,2,63,39,3,10
8,2,0,2,33,43,1,100
8,2,0,1,35,43,1,100
8,1,2,1,71,41,2,3
8,2,0,2,48,43,1,40
8,2,0,1,48,44,1,2
8,2,0,2,58,39,1,10
8,2,0,2,73,43,3,500
3,2,0,2,58,43,1,36
3,2,0,1,58,43,1,200
3,1,7,2,34,43,2,2
3,1,7,1,27,43,1,50
3,1,6,2,67,41,2,5
3,1,7,2,53,44,2,9
3,1,7,2,46,45,1,104
3,1,6,2,34,43,1,60
3,1,6,1,32,43,1,240
3,1,2,2,31,43,2,4
3,1,2,1,40,40,1,25
3,1,2,1,65,40,3,500
3,1,3,2,85,39,3,10
3,1,5,2,41,43,1,3
3,1,5,2,70,39,2,12
3,1,5,1,34,43,1,5
3,1,5,2,29,43,2,10
3,1,5,1,28,44,1,40
3,1,5,2,51,43,1,50
3,2,0,1,68,39,2,100
3,1,2,1,18,39,2,48
4,2,0,2,36,43,1,15
4,2,0,2,57,39,1,72
4,2,0,1,64,41,3,300
4,2,0,2,76,39,3,12
4,1,3,1,60,44,1,5
4,1,3,2,58,43,2,10
4,2,0,1,56,44,1,18
4,2,0,2,55,44,1,20
4,1,4,2,67,39,2,12
6,2,0,1,63,43,2,5
6,1,3,1,61,46,1,25
6,1,3,2,61,46,1,50
7,1,4,2,68,44,2,150
7,1,5,2,41,43,1,30
1,1,2,1,72,42,3,12
1,1,2,2,66,44,3,12
1,2,0,1,68,46,1,72
1,2,0,2,51,46,1,500
1,2,0,2,46,43,1,100
1,1,4,1,62,43,1,10
1,1,4,2,41,43,2,2
1,1,4,2,55,40,1,12
5,1,6,1,25,43,1,5
5,1,6,2,39,40,1,3
5,1,6,2,74,43,2,156
5,1,7,1,47,46,1,40
5,1,7,2,40,44,1,100
5,1,2,2,50,40,2,24
1,1,5,2,41,43,1,20
1,1,6,2,69,45,1,12
1,1,6,1,73,43,2,30
1,1,6,1,30,46,1,30
1,1,6,1,38,43,1,100
1,1,6,2,62,40,1,80
1,1,6,2,36,44,1,120
1,1,6,2,74,43,1,36
1,1,6,1,76,43,2,10
3,1,2,2,33,40,2,12
3,1,3,2,49,44,1,4
3,1,3,2,31,43,1,20
3,2,0,1,78,39,2,15
3,1,2,1,30,39,1,75
3,1,2,2,31,39,2,48
3,2,0,2,62,44,1,5
3,2,0,1,66,43,2,4
3,1,6,1,73,43,2,40
3,1,2,2,44,41,2,500
3,1,6,2,46,44,1,30
3,1,6,2,18,39,2,50
3,1,6,1,52,44,1,104
3,1,6,2,26,43,1,10
3,1,3,1,23,44,1,5
3,1,3,1,23,43,2,300
3,1,6,2,67,39,2,100
4,2,0,2,49,45,1,30
4,1,6,2,73,43,2,24
4,1,6,1,72,39,2,500
4,2,0,2,66,40,2,4
4,2,0,1,77,40,2,10
4,1,6,1,64,43,1,80
4,1,6,1,50,43,2,30
4,1,0,2,71,40,3,350
4,1,6,2,42,43,1,120
4,1,6,1,42,43,1,24
4,1,0,2,76,39,2,20
6,2,0,2,63,43,1,52
6,1,0,2,37,43,1,50
6,1,0,1,66,39,1,10
4,1,0,2,55,41,1,4
4,1,5,2,48,46,1,30
4,1,5,2,29,40,2,32
4,2,0,2,25,43,1,15
4,2,0,2,79,43,2,120
4,1,6,1,32,44,1,10
4,1,6,2,59,44,2,480
4,1,6,1,60,43,1,240
8,2,0,2,80,39,2,50
8,2,0,1,71,41,1,35
8,2,0,2,67,39,2,156
4,1,4,1,68,46,2,4
4,1,4,2,68,41,2,4
4,1,4,1,70,43,2,10
4,1,4,2,67,44,2,10
4,2,0,1,63,43,2,500
4,2,0,2,58,41,1,50
4,1,4,1,63,45,1,1
4,1,4,2,65,46,2,5
8,1,5,2,73,42,2,192
8,1,5,2,38,43,1,50
8,1,5,1,39,42,1,150
8,2,0,2,75,42,2,240
8,2,0,1,77,43,2,60
1,2,0,1,80,43,2,10
1,2,0,1,48,40,1,40
1,2,0,1,61,43,1,10
1,2,0,2,64,39,2,36
1,1,6,1,79,44,1,208
1,1,6,2,73,44,2,12
1,1,6,2,80,44,2,156
1,1,6,1,71,43,2,4
1,1,6,2,72,43,1,2
1,1,6,1,76,43,1,4
2,1,7,1,71,42,1,144
8,1,4,2,61,40,2,20
8,1,4,1,62,40,2,150
8,1,2,1,74,39,2,10
8,2,0,1,63,39,2,8
8,2,0,2,85,43,2,2
8,1,2,1,38,44,1,40
8,1,2,2,35,44,2,150
8,1,2,1,61,43,2,10
8,1,2,2,58,41,2,8
8,1,2,2,54,42,2,3
2,1,4,2,65,39,2,50
2,1,4,1,68,44,3,100
2,1,4,2,62,46,3,100
2,1,7,1,60,44,1,12
2,1,3,1,70,42,2,25
2,1,3,2,66,41,1,10
2,1,5,1,68,42,1,10
2,2,0,2,67,39,2,70
2,1,7,2,47,44,1,80
2,1,7,1,48,44,1,250
2,1,5,1,28,39,2,416
2,1,5,1,78,46,2,60
2,1,5,2,44,44,1,60
2,1,7,1,58,46,1,16
2,1,7,2,49,43,1,100
2,1,7,1,53,43,1,12
2,1,7,2,71,43,3,4
2,1,7,2,80,43,2,20
2,1,5,2,66,44,1,48
2,1,4,1,68,46,1,150
2,1,4,2,63,44,1,40
2,1,5,2,28,44,1,100
2,1,4,2,60,44,2,6
2,1,7,1,51,43,1,104
2,1,7,2,18,39,2,234
2,1,7,2,18,39,2,234
2,1,4,2,59,41,1,6
2,1,4,1,78,39,3,500
2,1,2,2,74,40,2,24
5,2,0,2,72,42,2,25
5,2,0,1,73,39,2,10
5,1,3,2,65,44,2,20
5,1,3,1,18,38,1,4
5,1,5,1,85,43,2,200
5,1,4,1,52,43,1,40
5,1,4,2,61,43,3,312
5,1,5,1,35,43,1,12
5,1,5,2,33,43,1,3
5,1,5,2,75,44,3,12
5,1,5,2,75,43,2,12
5,2,0,2,73,40,3,3
5,1,2,2,26,40,1,3
5,2,0,2,70,44,3,3
4,1,0,2,68,43,1,10
4,2,0,2,55,43,1,60
4,2,0,1,73,44,2,4
3,1,5,1,21,40,2,400
3,2,0,1,37,40,1,20
3,2,0,2,32,40,1,30
